DN,geometry
5,"POLYGON ((-76.84791227696202 3.21280612327907, -76.84791227696202 3.199108518813953, -76.82051706803797 3.199108518813953, -76.82051706803797 3.21280612327907, -76.84791227696202 3.21280612327907))"
2,"POLYGON ((-76.10824163601265 3.226503727744186, -76.10824163601265 3.21280612327907, -76.12193924047467 3.21280612327907, -76.12193924047467 3.199108518813953, -76.10824163601265 3.199108518813953, -76.10824163601265 3.185410914348837, -76.09454403155063 3.185410914348837, -76.09454403155063 3.199108518813953, -76.05345121816455 3.199108518813953, -76.05345121816455 3.21280612327907, -76.09454403155063 3.21280612327907, -76.09454403155063 3.226503727744186, -76.10824163601265 3.226503727744186))"
7,"POLYGON ((-76.46437935202532 3.322386959, -76.46437935202532 3.308689354534884, -76.49177456094937 3.308689354534884, -76.49177456094937 3.294991750069768, -76.47807695648734 3.294991750069768, -76.47807695648734 3.281294145604651, -76.46437935202532 3.281294145604651, -76.46437935202532 3.240201332209303, -76.47807695648734 3.240201332209303, -76.47807695648734 3.21280612327907, -76.49177456094937 3.21280612327907, -76.49177456094937 3.171713309883721, -76.43698414310126 3.171713309883721, -76.43698414310126 3.185410914348837, -76.42328653863923 3.185410914348837, -76.42328653863923 3.199108518813953, -76.39589132971518 3.199108518813953, -76.39589132971518 3.21280612327907, -76.38219372525316 3.21280612327907, -76.38219372525316 3.294991750069768, -76.40958893417721 3.294991750069768, -76.40958893417721 3.308689354534884, -76.43698414310126 3.308689354534884, -76.43698414310126 3.322386959, -76.46437935202532 3.322386959))"
5,"POLYGON ((-76.8342146725 3.185410914348837, -76.8342146725 3.158015705418605, -76.80681946357595 3.158015705418605, -76.80681946357595 3.185410914348837, -76.8342146725 3.185410914348837))"
7,"POLYGON ((-77.03967873943037 3.171713309883721, -77.03967873943037 3.158015705418605, -77.02598113496835 3.158015705418605, -77.02598113496835 3.171713309883721, -77.03967873943037 3.171713309883721))"
6,"POLYGON ((-76.88900509034809 3.21280612327907, -76.88900509034809 3.199108518813953, -76.87530748588607 3.199108518813953, -76.87530748588607 3.171713309883721, -76.88900509034809 3.171713309883721, -76.88900509034809 3.158015705418605, -76.86160988142404 3.158015705418605, -76.86160988142404 3.199108518813953, -76.84791227696202 3.199108518813953, -76.84791227696202 3.21280612327907, -76.88900509034809 3.21280612327907))"
5,"POLYGON ((-76.86160988142404 3.171713309883721, -76.86160988142404 3.158015705418605, -76.84791227696202 3.158015705418605, -76.84791227696202 3.171713309883721, -76.86160988142404 3.171713309883721))"
6,"POLYGON ((-76.84791227696202 3.171713309883721, -76.84791227696202 3.158015705418605, -76.8342146725 3.158015705418605, -76.8342146725 3.171713309883721, -76.84791227696202 3.171713309883721))"
5,"POLYGON ((-76.75202904572784 3.171713309883721, -76.75202904572784 3.158015705418605, -76.73833144126581 3.158015705418605, -76.73833144126581 3.171713309883721, -76.75202904572784 3.171713309883721))"
7,"POLYGON ((-76.50547216541139 3.171713309883721, -76.50547216541139 3.158015705418605, -76.49177456094937 3.158015705418605, -76.49177456094937 3.171713309883721, -76.50547216541139 3.171713309883721))"
