longitude,latitude,sea_level
-79.08333,-4.25,0.0
-79.08333,-4.166664,0.0
-79.08333,-4.0833282,0.0
-79.08333,-4.0,0.0
-79.08333,-3.9166641,0.0
-79.08333,-3.8333282,0.0
-79.08333,-3.75,0.0
-79.08333,-3.6666641,0.0
-79.08333,-3.5833282,0.0
-79.08333,-3.5,0.0
-79.08333,-3.4166641,0.0
-79.08333,-3.3333282,0.0
-79.08333,-3.25,0.0
-79.08333,-3.1666641,0.0
-79.08333,-3.0833282,0.0
-79.08333,-3.0,0.0
-79.08333,-2.9166641,0.0
-79.08333,-2.8333282,0.0
-79.08333,-2.75,0.0
-79.08333,-2.6666641,0.0
-79.08333,-2.5833282,0.0
-79.08333,-2.5,0.0
-79.08333,-2.4166641,0.0
-79.08333,-2.3333282,0.0
-79.08333,-2.25,0.0
-79.08333,-2.1666641,0.0
-79.08333,-2.0833282,0.0
-79.08333,-2.0,0.0
-79.08333,-1.9166641,0.0
-79.08333,-1.8333282,0.0
-79.08333,-1.75,0.0
-79.08333,-1.6666641,0.0
-79.08333,-1.5833282,0.0
-79.08333,-1.5,0.0
-79.08333,-1.4166641,0.0
-79.08333,-1.3333282,0.0
-79.08333,-1.25,0.0
-79.08333,-1.1666641,0.0
-79.08333,-1.0833282,0.0
-79.08333,-1.0,0.0
-79.08333,-0.9166641,0.0
-79.08333,-0.83332825,0.0
-79.08333,-0.75,0.0
-79.08333,-0.6666641,0.0
-79.08333,-0.58332825,0.0
-79.08333,-0.5,0.0
-79.08333,-0.41666412,0.0
-79.08333,-0.33332825,0.0
-79.08333,-0.25,0.0
-79.08333,-0.16666412,0.0
-79.08333,-0.08332825,0.0
-79.08333,0.0,0.0
-79.08333,0.08333588,0.0
-79.08333,0.16667175,0.0
-79.08333,0.25,0.0
-79.08333,0.33333588,0.0
-79.08333,0.41667175,0.0
-79.08333,0.5,0.0
-79.08333,0.5833359,0.0
-79.08333,0.66667175,0.0
-79.08333,0.75,0.0
-79.08333,0.8333359,0.0
-79.08333,0.91667175,0.0
-79.08333,1.0,0.0
-79.08333,1.0833359,0.0
-79.08333,1.1666718,0.274075
-79.08333,1.25,0.274586
-79.08333,1.3333359,0.273525
-79.08333,1.4166718,0.272975
-79.08333,1.5,0.273431
-79.08333,1.5833359,0.275892
-79.08333,1.6666718,0.276585
-79.08333,1.75,0.277689
-79.08333,1.8333359,0.278927
-79.08333,1.9166718,0.278659
-79.08333,2.0,0.277208
-79.08333,2.0833359,0.27628
-79.08333,2.1666718,0.275014
-79.08333,2.25,0.272134
-79.08333,2.3333359,0.270048
-79.08333,2.4166718,0.26697
-79.08333,2.5,0.262583
-79.08333,2.5833359,0.258974
-79.08333,2.6666718,0.256916
-79.08333,2.75,0.2577
-79.08333,2.8333359,0.25978
-79.08333,2.9166718,0.262819
-79.08333,3.0,0.264709
-79.08333,3.0833359,0.265359
-79.08333,3.1666718,0.266113
-79.08333,3.25,0.266096
-79.08333,3.3333359,0.266736
-79.08333,3.4166718,0.268526
-79.08333,3.5,0.270446
-79.08333,3.5833359,0.270946
-79.08333,3.6666718,0.271006
-79.08333,3.75,0.269953
-79.08333,3.8333359,0.268206
-79.08333,3.9166718,0.266858
-79.08333,4.0,0.264741
-79.08333,4.083336,0.26286
-79.08333,4.1666718,0.261468
-79.08333,4.25,0.260361
-79.08333,4.333336,0.25962
-79.08333,4.4166718,0.258618
-79.08333,4.5,0.256353
-79.08333,4.583336,0.254016
-79.08333,4.6666718,0.2533
-79.08333,4.75,0.253235
-79.08333,4.833336,0.2532
-79.08333,4.9166718,0.253709
-79.08333,5.0,0.254593
-79.08333,5.083336,0.255641
-79.08333,5.1666718,0.256171
-79.08333,5.25,0.255856
-79.08333,5.333336,0.254916
-79.08333,5.4166718,0.253772
-79.08333,5.5,0.252994
-79.08333,5.583336,0.252666
-79.08333,5.6666718,0.252676
-79.08333,5.75,0.252743
-79.08333,5.833336,0.252726
-79.08333,5.9166718,0.252736
-79.08333,6.0,0.253498
-79.08333,6.083336,0.254956
-79.08333,6.1666718,0.255607
-79.08333,6.25,0.255197
-79.08333,6.333336,0.254074
-79.08333,6.4166718,0.252005
-79.08333,6.5,0.250056
-79.08333,6.583336,0.247754
-79.08333,6.6666718,0.244381
-79.08333,6.75,0.24049
-79.08333,6.833336,0.236373
-79.08333,6.9166718,0.232537
-79.08333,7.0,0.229974
-79.08333,7.083336,0.229117
-79.08333,7.1666718,0.230071
-79.08333,7.25,0.232858
-79.08333,7.333336,0.236697
-79.08333,7.4166718,0.241016
-79.08333,7.5,0.24525
-79.08333,7.583336,0.250242
-79.08333,7.6666718,0.257106
-79.08333,7.75,0.266996
-79.08333,7.833336,0.28049
-79.08333,7.9166718,0.29724
-79.08333,8.0,0.312009
-79.08333,8.083336,0.321186
-79.08333,8.166672,0.324291
-79.08333,8.25,0.0
-79.08333,8.333336,0.0
-79.08333,8.416672,0.0
-79.08333,8.5,0.0
-79.08333,8.583336,0.318876
-79.08333,8.666672,0.321735
-79.08333,8.75,0.323957
-79.08333,8.833336,0.325311
-79.08333,8.916672,0.327695
-79.08333,9.0,0.329479
-79.08333,9.083336,0.0
-79.08333,9.166672,0.0
-79.08333,9.25,0.0
-79.08333,9.333336,0.0
-79.08333,9.416672,0.0
-79.08333,9.5,0.163221
-79.08333,9.583336,0.160975
-79.08333,9.666672,0.15817
-79.08333,9.75,0.155765
-79.08333,9.833336,0.151664
-79.08333,9.916672,0.142921
-79.08333,10.0,0.129197
-79.08333,10.083336,0.11267
-79.08333,10.166672,0.094282
-79.08333,10.25,0.076427
-79.08333,10.333336,0.061415
-79.08333,10.416672,0.049895
-79.08333,10.5,0.040692
-79.08333,10.583336,0.032817
-79.08333,10.666672,0.02672
-79.08333,10.75,0.023704
-79.08333,10.833336,0.024005
-79.08333,10.916672,0.026615
-79.08333,11.0,0.02839
-79.08333,11.083336,0.028151
-79.08333,11.166672,0.029055
-79.08333,11.25,0.032272
-79.08333,11.333336,0.036908
-79.08333,11.416672,0.042345
-79.08333,11.5,0.048708
-79.08333,11.583336,0.056283
-79.08333,11.666672,0.064891
-79.08333,11.75,0.075283
-79.08333,11.833336,0.087807
-79.08333,11.916672,0.102201
-79.08333,12.0,0.117543
-79.08333,12.083336,0.132256
-79.08333,12.166672,0.145707
-79.08333,12.25,0.157621
-79.08333,12.333336,0.171287
-79.08333,12.416672,0.187802
-79.0,-4.25,0.0
-79.0,-4.166664,0.0
-79.0,-4.0833282,0.0
-79.0,-4.0,0.0
-79.0,-3.9166641,0.0
-79.0,-3.8333282,0.0
-79.0,-3.75,0.0
-79.0,-3.6666641,0.0
-79.0,-3.5833282,0.0
-79.0,-3.5,0.0
-79.0,-3.4166641,0.0
-79.0,-3.3333282,0.0
-79.0,-3.25,0.0
-79.0,-3.1666641,0.0
-79.0,-3.0833282,0.0
-79.0,-3.0,0.0
-79.0,-2.9166641,0.0
-79.0,-2.8333282,0.0
-79.0,-2.75,0.0
-79.0,-2.6666641,0.0
-79.0,-2.5833282,0.0
-79.0,-2.5,0.0
-79.0,-2.4166641,0.0
-79.0,-2.3333282,0.0
-79.0,-2.25,0.0
-79.0,-2.1666641,0.0
-79.0,-2.0833282,0.0
-79.0,-2.0,0.0
-79.0,-1.9166641,0.0
-79.0,-1.8333282,0.0
-79.0,-1.75,0.0
-79.0,-1.6666641,0.0
-79.0,-1.5833282,0.0
-79.0,-1.5,0.0
-79.0,-1.4166641,0.0
-79.0,-1.3333282,0.0
-79.0,-1.25,0.0
-79.0,-1.1666641,0.0
-79.0,-1.0833282,0.0
-79.0,-1.0,0.0
-79.0,-0.9166641,0.0
-79.0,-0.83332825,0.0
-79.0,-0.75,0.0
-79.0,-0.6666641,0.0
-79.0,-0.58332825,0.0
-79.0,-0.5,0.0
-79.0,-0.41666412,0.0
-79.0,-0.33332825,0.0
-79.0,-0.25,0.0
-79.0,-0.16666412,0.0
-79.0,-0.08332825,0.0
-79.0,0.0,0.0
-79.0,0.08333588,0.0
-79.0,0.16667175,0.0
-79.0,0.25,0.0
-79.0,0.33333588,0.0
-79.0,0.41667175,0.0
-79.0,0.5,0.0
-79.0,0.5833359,0.0
-79.0,0.66667175,0.0
-79.0,0.75,0.0
-79.0,0.8333359,0.0
-79.0,0.91667175,0.0
-79.0,1.0,0.0
-79.0,1.0833359,0.0
-79.0,1.1666718,0.0
-79.0,1.25,0.278037
-79.0,1.3333359,0.278177
-79.0,1.4166718,0.278342
-79.0,1.5,0.278288
-79.0,1.5833359,0.27933
-79.0,1.6666718,0.0
-79.0,1.75,0.279955
-79.0,1.8333359,0.281191
-79.0,1.9166718,0.281476
-79.0,2.0,0.280755
-79.0,2.0833359,0.280308
-79.0,2.1666718,0.279613
-79.0,2.25,0.277751
-79.0,2.3333359,0.275551
-79.0,2.4166718,0.274901
-79.0,2.5,0.273734
-79.0,2.5833359,0.269927
-79.0,2.6666718,0.266608
-79.0,2.75,0.265547
-79.0,2.8333359,0.26659
-79.0,2.9166718,0.268467
-79.0,3.0,0.268681
-79.0,3.0833359,0.268957
-79.0,3.1666718,0.268988
-79.0,3.25,0.268418
-79.0,3.3333359,0.26874
-79.0,3.4166718,0.270269
-79.0,3.5,0.272046
-79.0,3.5833359,0.272155
-79.0,3.6666718,0.2717
-79.0,3.75,0.270592
-79.0,3.8333359,0.268786
-79.0,3.9166718,0.267426
-79.0,4.0,0.265584
-79.0,4.083336,0.263622
-79.0,4.1666718,0.262465
-79.0,4.25,0.26146
-79.0,4.333336,0.260338
-79.0,4.4166718,0.258336
-79.0,4.5,0.255406
-79.0,4.583336,0.253826
-79.0,4.6666718,0.253471
-79.0,4.75,0.253402
-79.0,4.833336,0.253297
-79.0,4.9166718,0.253683
-79.0,5.0,0.254708
-79.0,5.083336,0.255891
-79.0,5.1666718,0.256525
-79.0,5.25,0.256587
-79.0,5.333336,0.256043
-79.0,5.4166718,0.255001
-79.0,5.5,0.254274
-79.0,5.583336,0.253919
-79.0,5.6666718,0.253829
