longitude,latitude,accumulated_precipitation
-79.1,-4.29,0.576535
-79.1,-4.04,0.708067
-79.1,-3.79,0.651314
-79.1,-3.54,0.382242
-79.1,-3.29,0.42731
-79.1,-3.04,0.327493
-79.1,-2.79,0.171592
-79.1,-2.54,0.615928
-79.1,-2.29,0.807216
-79.1,-2.04,0.670343
-79.1,-1.79,0.604244
-79.1,-1.54,0.506096
-79.1,-1.29,0.554502
-79.1,-1.04,0.664334
-79.1,-0.79,1.230854
-79.1,-0.54,1.251218
-79.1,-0.29,0.703059
-79.1,-0.04,0.325824
-79.1,0.21,0.236356
-79.1,0.46,0.210984
-79.1,0.71,0.045068
-79.1,0.96,0.008012
-79.1,1.21,0.000334
-79.1,1.46,0.000334
-79.1,1.71,0.003672
-79.1,1.96,0.002337
-79.1,2.21,0.001002
-79.1,2.46,0.006009
-79.1,2.71,0.028376
-79.1,2.96,0.069104
-79.1,3.21,0.071107
-79.1,3.46,0.031381
-79.1,3.71,0.033384
-79.1,3.96,0.020364
-79.1,4.21,0.003005
-79.1,4.46,0.000668
-79.1,4.71,0.000334
-79.1,4.96,0.0
-79.1,5.21,0.0
-79.1,5.46,0.0
-79.1,5.71,0.0
-79.1,5.96,0.0
-79.1,6.21,0.0
-79.1,6.46,0.0
-79.1,6.71,0.0
-79.1,6.96,0.0
-79.1,7.21,0.0
-79.1,7.46,0.0
-79.1,7.71,0.0
-79.1,7.96,0.0
-79.1,8.21,0.0
-79.1,8.46,0.0
-79.1,8.71,0.000334
-79.1,8.96,0.002003
-79.1,9.21,0.045736
-79.1,9.46,0.093808
-79.1,9.71,0.105492
-79.1,9.96,0.071441
-79.1,10.21,0.016692
-79.1,10.46,0.003005
-79.1,10.71,0.006009
-79.1,10.96,0.003672
-79.1,11.21,0.001669
-79.1,11.46,0.003338
-79.1,11.71,0.005008
-79.1,11.96,0.00434
-79.1,12.21,0.006343
-79.1,12.46,0.009681
-78.85,-4.29,0.297782
-78.85,-4.04,0.382242
-78.85,-3.79,0.336507
-78.85,-3.54,0.27408
-78.85,-3.29,0.177267
-78.85,-3.04,0.145886
-78.85,-2.79,0.078452
-78.85,-2.54,0.361545
-78.85,-2.29,0.458023
-78.85,-2.04,0.293776
-78.85,-1.79,0.30112
-78.85,-1.54,0.302122
-78.85,-1.29,0.492075
-78.85,-1.04,0.327493
-78.85,-0.79,0.980143
-78.85,-0.54,1.050249
-78.85,-0.29,0.959779
-78.85,-0.04,0.935743
-78.85,0.21,0.618265
-78.85,0.46,0.322152
-78.85,0.71,0.187616
-78.85,0.96,0.029378
-78.85,1.21,0.00868
-78.85,1.46,0.000334
-78.85,1.71,0.002337
-78.85,1.96,0.005341
-78.85,2.21,0.004006
-78.85,2.46,0.002337
-78.85,2.71,0.021366
-78.85,2.96,0.071441
-78.85,3.21,0.093808
-78.85,3.46,0.025372
-78.85,3.71,0.020364
-78.85,3.96,0.011684
-78.85,4.21,0.003005
-78.85,4.46,0.004006
-78.85,4.71,0.002003
-78.85,4.96,0.0
-78.85,5.21,0.0
-78.85,5.46,0.0
-78.85,5.71,0.0
-78.85,5.96,0.0
-78.85,6.21,0.0
-78.85,6.46,0.0
-78.85,6.71,0.0
-78.85,6.96,0.0
-78.85,7.21,0.0
-78.85,7.46,0.0
-78.85,7.71,0.000334
-78.85,7.96,0.0
-78.85,8.21,0.0
-78.85,8.46,0.0
-78.85,8.71,0.000334
-78.85,8.96,0.006343
-78.85,9.21,0.043399
-78.85,9.46,0.111167
-78.85,9.71,0.149225
-78.85,9.96,0.047405
-78.85,10.21,0.010349
-78.85,10.46,0.005675
-78.85,10.71,0.006343
-78.85,10.96,0.005675
-78.85,11.21,0.003338
-78.85,11.46,0.004674
-78.85,11.71,0.007011
-78.85,11.96,0.003672
-78.85,12.21,0.005341
-78.85,12.46,0.005008
-78.6,-4.29,0.114172
-78.6,-4.04,0.176933
-78.6,-3.79,0.105826
-78.6,-3.54,0.090803
-78.6,-3.29,0.092806
-78.6,-3.04,0.156235
-78.6,-2.79,0.112837
-78.6,-2.54,0.258055
-78.6,-2.29,0.305126
-78.6,-2.04,0.228678
-78.6,-1.79,0.24103
-78.6,-1.54,0.19496
-78.6,-1.29,0.357872
-78.6,-1.04,0.819568
-78.6,-0.79,0.376901
-78.6,-0.54,0.394928
-78.6,-0.29,1.299624
-78.6,-0.04,1.627118
-78.6,0.21,1.090977
-78.6,0.46,0.426643
-78.6,0.71,0.221667
-78.6,0.96,0.235021
-78.6,1.21,0.13053
-78.6,1.46,0.058421
-78.6,1.71,0.01302
-78.6,1.96,0.007011
-78.6,2.21,0.002671
-78.6,2.46,0.001002
-78.6,2.71,0.009681
-78.6,2.96,0.032716
-78.6,3.21,0.039727
-78.6,3.46,0.00434
-78.6,3.71,0.002003
-78.6,3.96,0.002003
-78.6,4.21,0.003672
-78.6,4.46,0.005341
-78.6,4.71,0.005675
-78.6,4.96,0.003672
-78.6,5.21,0.002003
-78.6,5.46,0.006343
-78.6,5.71,0.003005
-78.6,5.96,0.003338
-78.6,6.21,0.001335
-78.6,6.46,0.000334
-78.6,6.71,0.0
-78.6,6.96,0.0
-78.6,7.21,0.0
-78.6,7.46,0.001335
-78.6,7.71,0.009014
-78.6,7.96,0.026373
-78.6,8.21,0.079787
-78.6,8.46,0.038391
-78.6,8.71,0.002671
-78.6,8.96,0.025038
-78.6,9.21,0.133534
-78.6,9.46,0.218663
-78.6,9.71,0.169255
-78.6,9.96,0.054749
-78.6,10.21,0.029711
-78.6,10.46,0.037723
-78.6,10.71,0.031714
-78.6,10.96,0.020364
-78.6,11.21,0.008012
-78.6,11.46,0.006677
-78.6,11.71,0.007011
-78.6,11.96,0.003672
-78.6,12.21,0.003672
-78.6,12.46,0.003338
-78.35,-4.29,0.136539
-78.35,-4.04,0.264064
-78.35,-3.79,0.110166
-78.35,-3.54,0.089134
-78.35,-3.29,0.066767
-78.35,-3.04,0.125856
-78.35,-2.79,0.247373
-78.35,-2.54,0.208981
-78.35,-2.29,0.175932
-78.35,-2.04,0.211986
-78.35,-1.79,0.207312
-78.35,-1.54,0.123853
-78.35,-1.29,0.219998
-78.35,-1.04,0.657991
-78.35,-0.79,0.153898
-78.35,-0.54,0.207646
-78.35,-0.29,0.994832
-78.35,-0.04,1.138382
-78.35,0.21,0.729766
-78.35,0.46,0.642969
-78.35,0.71,0.272744
-78.35,0.96,1.282599
-78.35,1.21,1.634128
-78.35,1.46,0.836594
-78.35,1.71,0.928399
-78.35,1.96,0.492408
-78.35,2.21,0.131198
-78.35,2.46,0.001002
-78.35,2.71,0.004006
-78.35,2.96,0.003338
-78.35,3.21,0.003005
-78.35,3.46,0.001335
-78.35,3.71,0.000334
-78.35,3.96,0.001335
-78.35,4.21,0.003672
-78.35,4.46,0.009681
-78.35,4.71,0.01135
-78.35,4.96,0.006677
-78.35,5.21,0.005008
-78.35,5.46,0.018361
-78.35,5.71,0.029044
-78.35,5.96,0.032382
-78.35,6.21,0.042397
-78.35,6.46,0.022701
-78.35,6.71,0.006677
-78.35,6.96,0.001335
-78.35,7.21,0.002671
-78.35,7.46,0.004674
-78.35,7.71,0.026707
-78.35,7.96,0.108163
-78.35,8.21,0.225339
-78.35,8.46,0.111167
-78.35,8.71,0.053414
-78.35,8.96,0.071441
-78.35,9.21,0.202972
-78.35,9.46,0.274747
-78.35,9.71,0.160575
-78.35,9.96,0.080788
-78.35,10.21,0.068103
-78.35,10.46,0.080455
-78.35,10.71,0.065432
-78.35,10.96,0.060424
-78.35,11.21,0.035387
-78.35,11.46,0.011017
-78.35,11.71,0.007344
-78.35,11.96,0.003338
-78.35,12.21,0.005675
-78.35,12.46,0.002671
-78.1,-4.29,0.143216
-78.1,-4.04,0.260726
-78.1,-3.79,0.059757
-78.1,-3.54,0.052412
-78.1,-3.29,0.039727
-78.1,-3.04,0.043065
-78.1,-2.79,0.209315
-78.1,-2.54,0.985151
-78.1,-2.29,1.006182
-78.1,-2.04,0.375232
-78.1,-1.79,0.105492
-78.1,-1.54,0.081122
-78.1,-1.29,0.151562
-78.1,-1.04,0.241364
-78.1,-0.79,0.129195
-78.1,-0.54,0.169255
-78.1,-0.29,0.312137
-78.1,-0.04,0.329496
-78.1,0.21,0.232684
-78.1,0.46,0.329163
-78.1,0.71,0.487735
-78.1,0.96,2.057099
-78.1,1.21,3.512291
-78.1,1.46,2.325169
-78.1,1.71,1.550335
-78.1,1.96,0.904362
-78.1,2.21,0.140545
-78.1,2.46,0.010349
-78.1,2.71,0.007011
-78.1,2.96,0.007344
-78.1,3.21,0.003338
-78.1,3.46,0.001335
-78.1,3.71,0.003338
-78.1,3.96,0.004006
-78.1,4.21,0.023035
-78.1,4.46,0.04006
-78.1,4.71,0.065432
-78.1,4.96,0.05308
-78.1,5.21,0.017359
-78.1,5.46,0.023035
-78.1,5.71,0.033384
-78.1,5.96,0.036054
-78.1,6.21,0.04874
-78.1,6.46,0.037723
-78.1,6.71,0.013687
-78.1,6.96,0.022033
-78.1,7.21,0.033717
-78.1,7.46,0.043399
-78.1,7.71,0.085128
-78.1,7.96,0.172927
-78.1,8.21,0.193959
-78.1,8.46,0.102488
-78.1,8.71,0.071441
-78.1,8.96,0.09748
