longitude,latitude,sea_temperature
-79.1,-4.29,0.0
-79.1,-4.04,0.0
-79.1,-3.79,0.0
-79.1,-3.54,0.0
-79.1,-3.29,0.0
-79.1,-3.04,0.0
-79.1,-2.79,0.0
-79.1,-2.54,0.0
-79.1,-2.29,0.0
-79.1,-2.04,0.0
-79.1,-1.79,0.0
-79.1,-1.54,0.0
-79.1,-1.29,0.0
-79.1,-1.04,0.0
-79.1,-0.79,0.0
-79.1,-0.54,0.0
-79.1,-0.29,0.0
-79.1,-0.04,0.0
-79.1,0.21,0.0
-79.1,0.46,0.0
-79.1,0.71,0.0
-79.1,0.96,0.0
-79.1,1.21,26.532324
-79.1,1.46,26.643194
-79.1,1.71,26.410137
-79.1,1.96,26.358494
-79.1,2.21,26.432407
-79.1,2.46,26.435057
-79.1,2.71,26.456724
-79.1,2.96,26.548334
-79.1,3.21,26.77128
-79.1,3.46,26.965454
-79.1,3.71,27.069101
-79.1,3.96,27.17227
-79.1,4.21,27.271099
-79.1,4.46,27.332735
-79.1,4.71,27.374388
-79.1,4.96,27.345257
-79.1,5.21,27.251118
-79.1,5.46,27.185749
-79.1,5.71,27.119904
-79.1,5.96,27.20429
-79.1,6.21,27.303244
-79.1,6.46,27.253405
-79.1,6.71,27.332375
-79.1,6.96,27.436625
-79.1,7.21,27.424587
-79.1,7.46,27.404242
-79.1,7.71,27.493807
-79.1,7.96,27.476591
-79.1,8.21,27.566034
-79.1,8.46,27.696407
-79.1,8.71,27.854828
-79.1,8.96,28.019629
-79.1,9.21,0.0
-79.1,9.46,0.0
-79.1,9.71,28.202608
-79.1,9.96,28.206821
-79.1,10.21,27.968828
-79.1,10.46,27.897202
-79.1,10.71,27.763699
-79.1,10.96,27.833641
-79.1,11.21,27.851578
-79.1,11.46,27.766348
-79.1,11.71,27.743958
-79.1,11.96,27.751902
-79.1,12.21,27.774895
-79.1,12.46,27.813057
-78.85,-4.29,0.0
-78.85,-4.04,0.0
-78.85,-3.79,0.0
-78.85,-3.54,0.0
-78.85,-3.29,0.0
-78.85,-3.04,0.0
-78.85,-2.79,0.0
-78.85,-2.54,0.0
-78.85,-2.29,0.0
-78.85,-2.04,0.0
-78.85,-1.79,0.0
-78.85,-1.54,0.0
-78.85,-1.29,0.0
-78.85,-1.04,0.0
-78.85,-0.79,0.0
-78.85,-0.54,0.0
-78.85,-0.29,0.0
-78.85,-0.04,0.0
-78.85,0.21,0.0
-78.85,0.46,0.0
-78.85,0.71,0.0
-78.85,0.96,0.0
-78.85,1.21,0.0
-78.85,1.46,0.0
-78.85,1.71,26.248466
-78.85,1.96,26.317324
-78.85,2.21,26.403637
-78.85,2.46,26.455643
-78.85,2.71,26.52799
-78.85,2.96,26.642473
-78.85,3.21,26.83135
-78.85,3.46,26.936804
-78.85,3.71,27.048157
-78.85,3.96,27.130257
-78.85,4.21,27.205975
-78.85,4.46,27.265804
-78.85,4.71,27.300714
-78.85,4.96,27.259544
-78.85,5.21,27.179371
-78.85,5.46,27.081984
-78.85,5.71,26.915255
-78.85,5.96,26.959797
-78.85,6.21,27.092937
-78.85,6.46,27.179251
-78.85,6.71,27.288195
-78.85,6.96,27.400751
-78.85,7.21,27.415918
-78.85,7.46,27.459858
-78.85,7.71,27.594084
-78.85,7.96,27.599258
-78.85,8.21,27.755754
-78.85,8.46,27.813658
-78.85,8.71,0.0
-78.85,8.96,0.0
-78.85,9.21,0.0
-78.85,9.46,0.0
-78.85,9.71,28.071392
-78.85,9.96,28.094625
-78.85,10.21,27.864941
-78.85,10.46,27.765745
-78.85,10.71,27.649338
-78.85,10.96,27.739622
-78.85,11.21,27.786572
-78.85,11.46,27.739384
-78.85,11.71,27.701584
-78.85,11.96,27.693878
-78.85,12.21,27.752024
-78.85,12.46,27.811371
-78.6,-4.29,0.0
-78.6,-4.04,0.0
-78.6,-3.79,0.0
-78.6,-3.54,0.0
-78.6,-3.29,0.0
-78.6,-3.04,0.0
-78.6,-2.79,0.0
-78.6,-2.54,0.0
-78.6,-2.29,0.0
-78.6,-2.04,0.0
-78.6,-1.79,0.0
-78.6,-1.54,0.0
-78.6,-1.29,0.0
-78.6,-1.04,0.0
-78.6,-0.79,0.0
-78.6,-0.54,0.0
-78.6,-0.29,0.0
-78.6,-0.04,0.0
-78.6,0.21,0.0
-78.6,0.46,0.0
-78.6,0.71,0.0
-78.6,0.96,0.0
-78.6,1.21,0.0
-78.6,1.46,0.0
-78.6,1.71,0.0
-78.6,1.96,0.0
-78.6,2.21,0.0
-78.6,2.46,0.0
-78.6,2.71,26.568438
-78.6,2.96,26.703264
-78.6,3.21,26.84411
-78.6,3.46,26.947397
-78.6,3.71,26.992901
-78.6,3.96,27.04948
-78.6,4.21,27.084871
-78.6,4.46,27.136034
-78.6,4.71,27.168777
-78.6,4.96,27.133265
-78.6,5.21,27.038525
-78.6,5.46,26.980621
-78.6,5.71,26.864697
-78.6,5.96,26.876493
-78.6,6.21,26.980021
-78.6,6.46,27.140005
-78.6,6.71,27.25798
-78.6,6.96,27.350311
-78.6,7.21,27.479118
-78.6,7.46,27.596972
-78.6,7.71,27.462147
-78.6,7.96,27.498018
-78.6,8.21,27.884321
-78.6,8.46,0.0
-78.6,8.71,0.0
-78.6,8.96,0.0
-78.6,9.21,0.0
-78.6,9.46,27.853865
-78.6,9.71,27.969311
-78.6,9.96,27.947039
-78.6,10.21,27.763098
-78.6,10.46,27.681479
-78.6,10.71,27.639465
-78.6,10.96,27.645725
-78.6,11.21,27.627668
-78.6,11.46,27.596613
-78.6,11.71,27.570488
-78.6,11.96,27.577831
-78.6,12.21,27.666912
-78.6,12.46,27.792831
-78.35,-4.29,0.0
-78.35,-4.04,0.0
-78.35,-3.79,0.0
-78.35,-3.54,0.0
-78.35,-3.29,0.0
-78.35,-3.04,0.0
-78.35,-2.79,0.0
-78.35,-2.54,0.0
-78.35,-2.29,0.0
-78.35,-2.04,0.0
-78.35,-1.79,0.0
-78.35,-1.54,0.0
-78.35,-1.29,0.0
-78.35,-1.04,0.0
-78.35,-0.79,0.0
-78.35,-0.54,0.0
-78.35,-0.29,0.0
-78.35,-0.04,0.0
-78.35,0.21,0.0
-78.35,0.46,0.0
-78.35,0.71,0.0
-78.35,0.96,0.0
-78.35,1.21,0.0
-78.35,1.46,0.0
-78.35,1.71,0.0
-78.35,1.96,0.0
-78.35,2.21,0.0
-78.35,2.46,0.0
-78.35,2.71,26.527267
-78.35,2.96,26.717348
-78.35,3.21,26.811728
-78.35,3.46,26.85988
