longitude,latitude,sea_temperature,geometry
-79.1,-4.29,0.0,"POLYGON ((-79.09 -4.29, -79.09004815273327 -4.290980171403295, -79.09019214719596 -4.291950903220162, -79.09043059664268 -4.292902846772544, -79.09076120467488 -4.293826834323651, -79.0911807873565 -4.29471396736826, -79.09168530387697 -4.295555702330196, -79.09226989546637 -4.296343932841636, -79.09292893218813 -4.297071067811865, -79.09365606715836 -4.297730104533628, -79.0944442976698 -4.298314696123025, -79.09528603263173 -4.298819212643483, -79.09617316567635 -4.299238795325113, -79.09709715322745 -4.299569403357322, -79.09804909677983 -4.299807852804032, -79.0990198285967 -4.299951847266722, -79.1 -4.3, -79.1009801714033 -4.299951847266722, -79.10195090322016 -4.299807852804032, -79.10290284677254 -4.299569403357322, -79.10382683432364 -4.299238795325113, -79.10471396736826 -4.298819212643483, -79.1055557023302 -4.298314696123025, -79.10634393284163 -4.297730104533628, -79.10707106781186 -4.297071067811865, -79.10773010453362 -4.296343932841636, -79.10831469612302 -4.295555702330196, -79.10881921264348 -4.29471396736826, -79.10923879532511 -4.293826834323651, -79.10956940335731 -4.292902846772544, -79.10980785280402 -4.291950903220162, -79.10995184726671 -4.290980171403295, -79.11 -4.29, -79.10995184726671 -4.289019828596705, -79.10980785280402 -4.288049096779838, -79.10956940335731 -4.287097153227456, -79.10923879532511 -4.286173165676349, -79.10881921264348 -4.28528603263174, -79.10831469612302 -4.284444297669804, -79.10773010453362 -4.283656067158364, -79.10707106781186 -4.282928932188135, -79.10634393284163 -4.282269895466372, -79.1055557023302 -4.281685303876975, -79.10471396736826 -4.281180787356517, -79.10382683432364 -4.280761204674887, -79.10290284677254 -4.280430596642678, -79.10195090322016 -4.280192147195968, -79.1009801714033 -4.280048152733278, -79.1 -4.28, -79.0990198285967 -4.280048152733278, -79.09804909677983 -4.280192147195968, -79.09709715322745 -4.280430596642678, -79.09617316567635 -4.280761204674887, -79.09528603263173 -4.281180787356517, -79.0944442976698 -4.281685303876975, -79.09365606715836 -4.282269895466372, -79.09292893218813 -4.282928932188135, -79.09226989546637 -4.283656067158364, -79.09168530387697 -4.284444297669804, -79.0911807873565 -4.28528603263174, -79.09076120467488 -4.286173165676349, -79.09043059664268 -4.287097153227456, -79.09019214719596 -4.288049096779838, -79.09004815273327 -4.289019828596705, -79.09 -4.29))"
-79.1,-4.04,0.0,"POLYGON ((-79.09 -4.04, -79.09004815273327 -4.040980171403295, -79.09019214719596 -4.041950903220162, -79.09043059664268 -4.042902846772544, -79.09076120467488 -4.043826834323651, -79.0911807873565 -4.04471396736826, -79.09168530387697 -4.045555702330196, -79.09226989546637 -4.046343932841636, -79.09292893218813 -4.047071067811865, -79.09365606715836 -4.047730104533628, -79.0944442976698 -4.048314696123025, -79.09528603263173 -4.048819212643483, -79.09617316567635 -4.049238795325113, -79.09709715322745 -4.049569403357322, -79.09804909677983 -4.049807852804032, -79.0990198285967 -4.049951847266722, -79.1 -4.05, -79.1009801714033 -4.049951847266722, -79.10195090322016 -4.049807852804032, -79.10290284677254 -4.049569403357322, -79.10382683432364 -4.049238795325113, -79.10471396736826 -4.048819212643483, -79.1055557023302 -4.048314696123025, -79.10634393284163 -4.047730104533628, -79.10707106781186 -4.047071067811865, -79.10773010453362 -4.046343932841636, -79.10831469612302 -4.045555702330196, -79.10881921264348 -4.04471396736826, -79.10923879532511 -4.043826834323651, -79.10956940335731 -4.042902846772544, -79.10980785280402 -4.041950903220162, -79.10995184726671 -4.040980171403295, -79.11 -4.04, -79.10995184726671 -4.039019828596705, -79.10980785280402 -4.038049096779838, -79.10956940335731 -4.037097153227456, -79.10923879532511 -4.036173165676349, -79.10881921264348 -4.03528603263174, -79.10831469612302 -4.034444297669804, -79.10773010453362 -4.033656067158364, -79.10707106781186 -4.032928932188135, -79.10634393284163 -4.032269895466372, -79.1055557023302 -4.031685303876975, -79.10471396736826 -4.031180787356517, -79.10382683432364 -4.030761204674887, -79.10290284677254 -4.030430596642678, -79.10195090322016 -4.030192147195968, -79.1009801714033 -4.030048152733278, -79.1 -4.03, -79.0990198285967 -4.030048152733278, -79.09804909677983 -4.030192147195968, -79.09709715322745 -4.030430596642678, -79.09617316567635 -4.030761204674887, -79.09528603263173 -4.031180787356517, -79.0944442976698 -4.031685303876975, -79.09365606715836 -4.032269895466372, -79.09292893218813 -4.032928932188135, -79.09226989546637 -4.033656067158364, -79.09168530387697 -4.034444297669804, -79.0911807873565 -4.03528603263174, -79.09076120467488 -4.036173165676349, -79.09043059664268 -4.037097153227456, -79.09019214719596 -4.038049096779838, -79.09004815273327 -4.039019828596705, -79.09 -4.04))"
-79.1,-3.79,0.0,"POLYGON ((-79.09 -3.79, -79.09004815273327 -3.790980171403296, -79.09019214719596 -3.791950903220161, -79.09043059664268 -3.792902846772545, -79.09076120467488 -3.793826834323651, -79.0911807873565 -3.79471396736826, -79.09168530387697 -3.795555702330196, -79.09226989546637 -3.796343932841637, -79.09292893218813 -3.797071067811865, -79.09365606715836 -3.797730104533628, -79.0944442976698 -3.798314696123025, -79.09528603263173 -3.798819212643484, -79.09617316567635 -3.799238795325113, -79.09709715322745 -3.799569403357322, -79.09804909677983 -3.799807852804032, -79.0990198285967 -3.799951847266722, -79.1 -3.8, -79.1009801714033 -3.799951847266722, -79.10195090322016 -3.799807852804032, -79.10290284677254 -3.799569403357322, -79.10382683432364 -3.799238795325113, -79.10471396736826 -3.798819212643484, -79.1055557023302 -3.798314696123025, -79.10634393284163 -3.797730104533628, -79.10707106781186 -3.797071067811865, -79.10773010453362 -3.796343932841637, -79.10831469612302 -3.795555702330196, -79.10881921264348 -3.79471396736826, -79.10923879532511 -3.793826834323651, -79.10956940335731 -3.792902846772545, -79.10980785280402 -3.791950903220161, -79.10995184726671 -3.790980171403296, -79.11 -3.79, -79.10995184726671 -3.789019828596704, -79.10980785280402 -3.788049096779839, -79.10956940335731 -3.787097153227455, -79.10923879532511 -3.786173165676349, -79.10881921264348 -3.78528603263174, -79.10831469612302 -3.784444297669804, -79.10773010453362 -3.783656067158363, -79.10707106781186 -3.782928932188135, -79.10634393284163 -3.782269895466372, -79.1055557023302 -3.781685303876975, -79.10471396736826 -3.781180787356516, -79.10382683432364 -3.780761204674887, -79.10290284677254 -3.780430596642678, -79.10195090322016 -3.780192147195968, -79.1009801714033 -3.780048152733278, -79.1 -3.78, -79.0990198285967 -3.780048152733278, -79.09804909677983 -3.780192147195968, -79.09709715322745 -3.780430596642678, -79.09617316567635 -3.780761204674887, -79.09528603263173 -3.781180787356516, -79.0944442976698 -3.781685303876975, -79.09365606715836 -3.782269895466372, -79.09292893218813 -3.782928932188135, -79.09226989546637 -3.783656067158363, -79.09168530387697 -3.784444297669804, -79.0911807873565 -3.78528603263174, -79.09076120467488 -3.786173165676349, -79.09043059664268 -3.787097153227455, -79.09019214719596 -3.788049096779839, -79.09004815273327 -3.789019828596704, -79.09 -3.79))"
-79.1,-3.54,0.0,"POLYGON ((-79.09 -3.54, -79.09004815273327 -3.540980171403296, -79.09019214719596 -3.541950903220161, -79.09043059664268 -3.542902846772545, -79.09076120467488 -3.543826834323651, -79.0911807873565 -3.54471396736826, -79.09168530387697 -3.545555702330196, -79.09226989546637 -3.546343932841637, -79.09292893218813 -3.547071067811865, -79.09365606715836 -3.547730104533628, -79.0944442976698 -3.548314696123025, -79.09528603263173 -3.548819212643484, -79.09617316567635 -3.549238795325113, -79.09709715322745 -3.549569403357322, -79.09804909677983 -3.549807852804032, -79.0990198285967 -3.549951847266722, -79.1 -3.55, -79.1009801714033 -3.549951847266722, -79.10195090322016 -3.549807852804032, -79.10290284677254 -3.549569403357322, -79.10382683432364 -3.549238795325113, -79.10471396736826 -3.548819212643484, -79.1055557023302 -3.548314696123025, -79.10634393284163 -3.547730104533628, -79.10707106781186 -3.547071067811865, -79.10773010453362 -3.546343932841637, -79.10831469612302 -3.545555702330196, -79.10881921264348 -3.54471396736826, -79.10923879532511 -3.543826834323651, -79.10956940335731 -3.542902846772545, -79.10980785280402 -3.541950903220161, -79.10995184726671 -3.540980171403296, -79.11 -3.54, -79.10995184726671 -3.539019828596704, -79.10980785280402 -3.538049096779839, -79.10956940335731 -3.537097153227455, -79.10923879532511 -3.536173165676349, -79.10881921264348 -3.53528603263174, -79.10831469612302 -3.534444297669804, -79.10773010453362 -3.533656067158363, -79.10707106781186 -3.532928932188135, -79.10634393284163 -3.532269895466372, -79.1055557023302 -3.531685303876975, -79.10471396736826 -3.531180787356516, -79.10382683432364 -3.530761204674887, -79.10290284677254 -3.530430596642678, -79.10195090322016 -3.530192147195968, -79.1009801714033 -3.530048152733278, -79.1 -3.53, -79.0990198285967 -3.530048152733278, -79.09804909677983 -3.530192147195968, -79.09709715322745 -3.530430596642678, -79.09617316567635 -3.530761204674887, -79.09528603263173 -3.531180787356516, -79.0944442976698 -3.531685303876975, -79.09365606715836 -3.532269895466372, -79.09292893218813 -3.532928932188135, -79.09226989546637 -3.533656067158363, -79.09168530387697 -3.534444297669804, -79.0911807873565 -3.53528603263174, -79.09076120467488 -3.536173165676349, -79.09043059664268 -3.537097153227455, -79.09019214719596 -3.538049096779839, -79.09004815273327 -3.539019828596704, -79.09 -3.54))"
-79.1,-3.29,0.0,"POLYGON ((-79.09 -3.29, -79.09004815273327 -3.290980171403296, -79.09019214719596 -3.291950903220161, -79.09043059664268 -3.292902846772545, -79.09076120467488 -3.293826834323651, -79.0911807873565 -3.29471396736826, -79.09168530387697 -3.295555702330196, -79.09226989546637 -3.296343932841637, -79.09292893218813 -3.297071067811865, -79.09365606715836 -3.297730104533628, -79.0944442976698 -3.298314696123025, -79.09528603263173 -3.298819212643484, -79.09617316567635 -3.299238795325113, -79.09709715322745 -3.299569403357322, -79.09804909677983 -3.299807852804032, -79.0990198285967 -3.299951847266722, -79.1 -3.3, -79.1009801714033 -3.299951847266722, -79.10195090322016 -3.299807852804032, -79.10290284677254 -3.299569403357322, -79.10382683432364 -3.299238795325113, -79.10471396736826 -3.298819212643484, -79.1055557023302 -3.298314696123025, -79.10634393284163 -3.297730104533628, -79.10707106781186 -3.297071067811865, -79.10773010453362 -3.296343932841637, -79.10831469612302 -3.295555702330196, -79.10881921264348 -3.29471396736826, -79.10923879532511 -3.293826834323651, -79.10956940335731 -3.292902846772545, -79.10980785280402 -3.291950903220161, -79.10995184726671 -3.290980171403296, -79.11 -3.29, -79.10995184726671 -3.289019828596704, -79.10980785280402 -3.288049096779839, -79.10956940335731 -3.287097153227455, -79.10923879532511 -3.286173165676349, -79.10881921264348 -3.28528603263174, -79.10831469612302 -3.284444297669804, -79.10773010453362 -3.283656067158363, -79.10707106781186 -3.282928932188135, -79.10634393284163 -3.282269895466372, -79.1055557023302 -3.281685303876975, -79.10471396736826 -3.281180787356516, -79.10382683432364 -3.280761204674887, -79.10290284677254 -3.280430596642678, -79.10195090322016 -3.280192147195968, -79.1009801714033 -3.280048152733278, -79.1 -3.28, -79.0990198285967 -3.280048152733278, -79.09804909677983 -3.280192147195968, -79.09709715322745 -3.280430596642678, -79.09617316567635 -3.280761204674887, -79.09528603263173 -3.281180787356516, -79.0944442976698 -3.281685303876975, -79.09365606715836 -3.282269895466372, -79.09292893218813 -3.282928932188135, -79.09226989546637 -3.283656067158363, -79.09168530387697 -3.284444297669804, -79.0911807873565 -3.28528603263174, -79.09076120467488 -3.286173165676349, -79.09043059664268 -3.287097153227455, -79.09019214719596 -3.288049096779839, -79.09004815273327 -3.289019828596704, -79.09 -3.29))"
-79.1,-3.04,0.0,"POLYGON ((-79.09 -3.04, -79.09004815273327 -3.040980171403296, -79.09019214719596 -3.041950903220161, -79.09043059664268 -3.042902846772545, -79.09076120467488 -3.043826834323651, -79.0911807873565 -3.04471396736826, -79.09168530387697 -3.045555702330196, -79.09226989546637 -3.046343932841637, -79.09292893218813 -3.047071067811865, -79.09365606715836 -3.047730104533628, -79.0944442976698 -3.048314696123025, -79.09528603263173 -3.048819212643484, -79.09617316567635 -3.049238795325113, -79.09709715322745 -3.049569403357322, -79.09804909677983 -3.049807852804032, -79.0990198285967 -3.049951847266722, -79.1 -3.05, -79.1009801714033 -3.049951847266722, -79.10195090322016 -3.049807852804032, -79.10290284677254 -3.049569403357322, -79.10382683432364 -3.049238795325113, -79.10471396736826 -3.048819212643484, -79.1055557023302 -3.048314696123025, -79.10634393284163 -3.047730104533628, -79.10707106781186 -3.047071067811865, -79.10773010453362 -3.046343932841637, -79.10831469612302 -3.045555702330196, -79.10881921264348 -3.04471396736826, -79.10923879532511 -3.043826834323651, -79.10956940335731 -3.042902846772545, -79.10980785280402 -3.041950903220161, -79.10995184726671 -3.040980171403296, -79.11 -3.04, -79.10995184726671 -3.039019828596704, -79.10980785280402 -3.038049096779839, -79.10956940335731 -3.037097153227455, -79.10923879532511 -3.036173165676349, -79.10881921264348 -3.03528603263174, -79.10831469612302 -3.034444297669804, -79.10773010453362 -3.033656067158363, -79.10707106781186 -3.032928932188135, -79.10634393284163 -3.032269895466372, -79.1055557023302 -3.031685303876975, -79.10471396736826 -3.031180787356516, -79.10382683432364 -3.030761204674887, -79.10290284677254 -3.030430596642678, -79.10195090322016 -3.030192147195968, -79.1009801714033 -3.030048152733278, -79.1 -3.03, -79.0990198285967 -3.030048152733278, -79.09804909677983 -3.030192147195968, -79.09709715322745 -3.030430596642678, -79.09617316567635 -3.030761204674887, -79.09528603263173 -3.031180787356516, -79.0944442976698 -3.031685303876975, -79.09365606715836 -3.032269895466372, -79.09292893218813 -3.032928932188135, -79.09226989546637 -3.033656067158363, -79.09168530387697 -3.034444297669804, -79.0911807873565 -3.03528603263174, -79.09076120467488 -3.036173165676349, -79.09043059664268 -3.037097153227455, -79.09019214719596 -3.038049096779839, -79.09004815273327 -3.039019828596704, -79.09 -3.04))"
-79.1,-2.79,0.0,"POLYGON ((-79.09 -2.79, -79.09004815273327 -2.790980171403296, -79.09019214719596 -2.791950903220161, -79.09043059664268 -2.792902846772545, -79.09076120467488 -2.793826834323651, -79.0911807873565 -2.79471396736826, -79.09168530387697 -2.795555702330196, -79.09226989546637 -2.796343932841637, -79.09292893218813 -2.797071067811865, -79.09365606715836 -2.797730104533628, -79.0944442976698 -2.798314696123025, -79.09528603263173 -2.798819212643484, -79.09617316567635 -2.799238795325113, -79.09709715322745 -2.799569403357322, -79.09804909677983 -2.799807852804032, -79.0990198285967 -2.799951847266722, -79.1 -2.8, -79.1009801714033 -2.799951847266722, -79.10195090322016 -2.799807852804032, -79.10290284677254 -2.799569403357322, -79.10382683432364 -2.799238795325113, -79.10471396736826 -2.798819212643484, -79.1055557023302 -2.798314696123025, -79.10634393284163 -2.797730104533628, -79.10707106781186 -2.797071067811865, -79.10773010453362 -2.796343932841637, -79.10831469612302 -2.795555702330196, -79.10881921264348 -2.79471396736826, -79.10923879532511 -2.793826834323651, -79.10956940335731 -2.792902846772545, -79.10980785280402 -2.791950903220161, -79.10995184726671 -2.790980171403296, -79.11 -2.79, -79.10995184726671 -2.789019828596704, -79.10980785280402 -2.788049096779839, -79.10956940335731 -2.787097153227455, -79.10923879532511 -2.786173165676349, -79.10881921264348 -2.78528603263174, -79.10831469612302 -2.784444297669804, -79.10773010453362 -2.783656067158363, -79.10707106781186 -2.782928932188135, -79.10634393284163 -2.782269895466372, -79.1055557023302 -2.781685303876975, -79.10471396736826 -2.781180787356516, -79.10382683432364 -2.780761204674887, -79.10290284677254 -2.780430596642678, -79.10195090322016 -2.780192147195968, -79.1009801714033 -2.780048152733278, -79.1 -2.78, -79.0990198285967 -2.780048152733278, -79.09804909677983 -2.780192147195968, -79.09709715322745 -2.780430596642678, -79.09617316567635 -2.780761204674887, -79.09528603263173 -2.781180787356516, -79.0944442976698 -2.781685303876975, -79.09365606715836 -2.782269895466372, -79.09292893218813 -2.782928932188135, -79.09226989546637 -2.783656067158363, -79.09168530387697 -2.784444297669804, -79.0911807873565 -2.78528603263174, -79.09076120467488 -2.786173165676349, -79.09043059664268 -2.787097153227455, -79.09019214719596 -2.788049096779839, -79.09004815273327 -2.789019828596704, -79.09 -2.79))"
-79.1,-2.54,0.0,"POLYGON ((-79.09 -2.54, -79.09004815273327 -2.540980171403296, -79.09019214719596 -2.541950903220161, -79.09043059664268 -2.542902846772545, -79.09076120467488 -2.543826834323651, -79.0911807873565 -2.54471396736826, -79.09168530387697 -2.545555702330196, -79.09226989546637 -2.546343932841637, -79.09292893218813 -2.547071067811865, -79.09365606715836 -2.547730104533628, -79.0944442976698 -2.548314696123025, -79.09528603263173 -2.548819212643484, -79.09617316567635 -2.549238795325113, -79.09709715322745 -2.549569403357322, -79.09804909677983 -2.549807852804032, -79.0990198285967 -2.549951847266722, -79.1 -2.55, -79.1009801714033 -2.549951847266722, -79.10195090322016 -2.549807852804032, -79.10290284677254 -2.549569403357322, -79.10382683432364 -2.549238795325113, -79.10471396736826 -2.548819212643484, -79.1055557023302 -2.548314696123025, -79.10634393284163 -2.547730104533628, -79.10707106781186 -2.547071067811865, -79.10773010453362 -2.546343932841637, -79.10831469612302 -2.545555702330196, -79.10881921264348 -2.54471396736826, -79.10923879532511 -2.543826834323651, -79.10956940335731 -2.542902846772545, -79.10980785280402 -2.541950903220161, -79.10995184726671 -2.540980171403296, -79.11 -2.54, -79.10995184726671 -2.539019828596704, -79.10980785280402 -2.538049096779839, -79.10956940335731 -2.537097153227455, -79.10923879532511 -2.536173165676349, -79.10881921264348 -2.53528603263174, -79.10831469612302 -2.534444297669804, -79.10773010453362 -2.533656067158363, -79.10707106781186 -2.532928932188135, -79.10634393284163 -2.532269895466372, -79.1055557023302 -2.531685303876975, -79.10471396736826 -2.531180787356516, -79.10382683432364 -2.530761204674887, -79.10290284677254 -2.530430596642678, -79.10195090322016 -2.530192147195968, -79.1009801714033 -2.530048152733278, -79.1 -2.53, -79.0990198285967 -2.530048152733278, -79.09804909677983 -2.530192147195968, -79.09709715322745 -2.530430596642678, -79.09617316567635 -2.530761204674887, -79.09528603263173 -2.531180787356516, -79.0944442976698 -2.531685303876975, -79.09365606715836 -2.532269895466372, -79.09292893218813 -2.532928932188135, -79.09226989546637 -2.533656067158363, -79.09168530387697 -2.534444297669804, -79.0911807873565 -2.53528603263174, -79.09076120467488 -2.536173165676349, -79.09043059664268 -2.537097153227455, -79.09019214719596 -2.538049096779839, -79.09004815273327 -2.539019828596704, -79.09 -2.54))"
-79.1,-2.29,0.0,"POLYGON ((-79.09 -2.29, -79.09004815273327 -2.290980171403296, -79.09019214719596 -2.291950903220161, -79.09043059664268 -2.292902846772545, -79.09076120467488 -2.293826834323651, -79.0911807873565 -2.29471396736826, -79.09168530387697 -2.295555702330196, -79.09226989546637 -2.296343932841637, -79.09292893218813 -2.297071067811865, -79.09365606715836 -2.297730104533628, -79.0944442976698 -2.298314696123025, -79.09528603263173 -2.298819212643484, -79.09617316567635 -2.299238795325113, -79.09709715322745 -2.299569403357322, -79.09804909677983 -2.299807852804032, -79.0990198285967 -2.299951847266722, -79.1 -2.3, -79.1009801714033 -2.299951847266722, -79.10195090322016 -2.299807852804032, -79.10290284677254 -2.299569403357322, -79.10382683432364 -2.299238795325113, -79.10471396736826 -2.298819212643484, -79.1055557023302 -2.298314696123025, -79.10634393284163 -2.297730104533628, -79.10707106781186 -2.297071067811865, -79.10773010453362 -2.296343932841637, -79.10831469612302 -2.295555702330196, -79.10881921264348 -2.29471396736826, -79.10923879532511 -2.293826834323651, -79.10956940335731 -2.292902846772545, -79.10980785280402 -2.291950903220161, -79.10995184726671 -2.290980171403296, -79.11 -2.29, -79.10995184726671 -2.289019828596704, -79.10980785280402 -2.288049096779839, -79.10956940335731 -2.287097153227455, -79.10923879532511 -2.286173165676349, -79.10881921264348 -2.28528603263174, -79.10831469612302 -2.284444297669804, -79.10773010453362 -2.283656067158363, -79.10707106781186 -2.282928932188135, -79.10634393284163 -2.282269895466372, -79.1055557023302 -2.281685303876975, -79.10471396736826 -2.281180787356516, -79.10382683432364 -2.280761204674887, -79.10290284677254 -2.280430596642678, -79.10195090322016 -2.280192147195968, -79.1009801714033 -2.280048152733278, -79.1 -2.28, -79.0990198285967 -2.280048152733278, -79.09804909677983 -2.280192147195968, -79.09709715322745 -2.280430596642678, -79.09617316567635 -2.280761204674887, -79.09528603263173 -2.281180787356516, -79.0944442976698 -2.281685303876975, -79.09365606715836 -2.282269895466372, -79.09292893218813 -2.282928932188135, -79.09226989546637 -2.283656067158363, -79.09168530387697 -2.284444297669804, -79.0911807873565 -2.28528603263174, -79.09076120467488 -2.286173165676349, -79.09043059664268 -2.287097153227455, -79.09019214719596 -2.288049096779839, -79.09004815273327 -2.289019828596704, -79.09 -2.29))"
-79.1,-2.04,0.0,"POLYGON ((-79.09 -2.04, -79.09004815273327 -2.040980171403296, -79.09019214719596 -2.041950903220161, -79.09043059664268 -2.042902846772545, -79.09076120467488 -2.043826834323651, -79.0911807873565 -2.04471396736826, -79.09168530387697 -2.045555702330196, -79.09226989546637 -2.046343932841637, -79.09292893218813 -2.047071067811865, -79.09365606715836 -2.047730104533628, -79.0944442976698 -2.048314696123025, -79.09528603263173 -2.048819212643484, -79.09617316567635 -2.049238795325113, -79.09709715322745 -2.049569403357322, -79.09804909677983 -2.049807852804032, -79.0990198285967 -2.049951847266722, -79.1 -2.05, -79.1009801714033 -2.049951847266722, -79.10195090322016 -2.049807852804032, -79.10290284677254 -2.049569403357322, -79.10382683432364 -2.049238795325113, -79.10471396736826 -2.048819212643484, -79.1055557023302 -2.048314696123025, -79.10634393284163 -2.047730104533628, -79.10707106781186 -2.047071067811865, -79.10773010453362 -2.046343932841637, -79.10831469612302 -2.045555702330196, -79.10881921264348 -2.04471396736826, -79.10923879532511 -2.043826834323651, -79.10956940335731 -2.042902846772545, -79.10980785280402 -2.041950903220161, -79.10995184726671 -2.040980171403296, -79.11 -2.04, -79.10995184726671 -2.039019828596704, -79.10980785280402 -2.038049096779839, -79.10956940335731 -2.037097153227455, -79.10923879532511 -2.036173165676349, -79.10881921264348 -2.03528603263174, -79.10831469612302 -2.034444297669804, -79.10773010453362 -2.033656067158363, -79.10707106781186 -2.032928932188135, -79.10634393284163 -2.032269895466372, -79.1055557023302 -2.031685303876975, -79.10471396736826 -2.031180787356516, -79.10382683432364 -2.030761204674887, -79.10290284677254 -2.030430596642678, -79.10195090322016 -2.030192147195968, -79.1009801714033 -2.030048152733278, -79.1 -2.03, -79.0990198285967 -2.030048152733278, -79.09804909677983 -2.030192147195968, -79.09709715322745 -2.030430596642678, -79.09617316567635 -2.030761204674887, -79.09528603263173 -2.031180787356516, -79.0944442976698 -2.031685303876975, -79.09365606715836 -2.032269895466372, -79.09292893218813 -2.032928932188135, -79.09226989546637 -2.033656067158363, -79.09168530387697 -2.034444297669804, -79.0911807873565 -2.03528603263174, -79.09076120467488 -2.036173165676349, -79.09043059664268 -2.037097153227455, -79.09019214719596 -2.038049096779839, -79.09004815273327 -2.039019828596704, -79.09 -2.04))"
